variant,split,accuracy,balanced_accuracy,precision,recall,f1,auroc,ks,mse
cross_entropy,train,0.7663628831814416,0.7663628831814416,0.738089360651691,0.8257387462027065,0.7794577685088634,0.8508734719018008,0.5410107705053853,0.15828233748090428
mse,train,0.7673294669980668,0.7673294669980668,0.7714526079641054,0.7597348798674399,0.7655489077501043,0.8572517734431564,0.5622756144711406,0.15443958123367776
cross_entropy,val,0.7417218543046358,0.7616713137909528,0.509009009009009,0.8042704626334519,0.623448275862069,0.826397806068166,0.5321843929999633,0.18166668678063147
mse,val,0.7559129612109745,0.7429605239021169,0.5303430079155673,0.7153024911032029,0.6090909090909091,0.827250797960157,0.5508905969108853,0.1646335328942147
cross_entropy,test,0.727530747398297,0.756418918918919,0.49141630901287553,0.8178571428571428,0.613941018766756,0.8439074278359993,0.54002574002574,0.1807899099243167
mse,test,0.7568590350047304,0.756949806949807,0.5286783042394015,0.7571428571428571,0.6226138032305433,0.839929214929215,0.5348777348777349,0.16440893622147218
